date,view
2022-06-22,2.52E-01
2022-06-23,1.95E-01
2022-06-24,2.17E-01
2022-06-25,1.81E-01
2022-06-26,1.46E-01
2022-06-27,1.78E-01
2022-06-28,1.38E-01
2022-06-29,1.73E-01
2022-06-30,2.08E-01
2022-07-01,2.55E-01
2022-07-02,2.98E-01
2022-07-03,2.73E-01
2022-07-04,2.09E-01
2022-07-05,1.65E-01
2022-07-06,1.20E-01
2022-07-07,1.26E-01
2022-07-08,1.32E-01
2022-07-09,1.74E-01
2022-07-10,2.16E-01
2022-07-11,2.58E-01
2022-07-12,1.63E-01
2022-07-13,1.30E-01
2022-07-14,9.70E-02
2022-07-15,2.60E-01
2022-07-16,2.42E-01
2022-07-17,8.04E-01
2022-07-18,8.15E-01
2022-07-19,7.54E-01
2022-07-20,6.51E-01
2022-07-21,6.29E-01
2022-07-22,2.63E-01
2022-07-23,1.49E-01
2022-07-24,5.99E-01
2022-07-25,7.62E-01
2022-07-26,6.01E-01
2022-07-27,6.48E-01
2022-07-28,4.78E-01
2022-07-29,2.48E-01
2022-07-30,2.69E-01
2022-07-31,6.17E-01
2022-08-01,6.89E-01
2022-08-02,7.01E-01
2022-08-03,5.61E-01
2022-08-04,6.92E-01
2022-08-05,2.66E-01
2022-08-06,1.90E-01
2022-08-07,6.22E-01
2022-08-08,7.99E-01
2022-08-09,5.43E-01
2022-08-10,3.80E-01
2022-08-11,3.83E-01
2022-08-12,1.90E-01
2022-08-13,2.42E-01
2022-08-14,7.47E-01
2022-08-15,9.51E-01
2022-08-16,6.57E-01
2022-08-17,7.12E-01
2022-08-18,6.89E-01
2022-08-19,1.94E-01
2022-08-20,2.21E-01
2022-08-21,8.25E-01
2022-08-22,9.34E-01
2022-08-23,7.16E-01
2022-08-24,6.80E-01
2022-08-25,6.26E-01
2022-08-26,2.75E-01
2022-08-27,2.59E-01
2022-08-28,8.69E-01
2022-08-29,8.05E-01
2022-08-30,7.08E-01
2022-08-31,2.91E-01
2022-09-01,1.32E-01
2022-09-02,2.48E-01
2022-09-03,1.66E-01
2022-09-04,5.56E-01
2022-09-05,7.33E-01
2022-09-06,5.73E-01
2022-09-07,5.08E-01
2022-09-08,4.25E-01
2022-09-09,2.81E-01
2022-09-10,2.94E-01
2022-09-11,7.04E-01
2022-09-12,7.77E-01
2022-09-13,7.50E-01
2022-09-14,7.04E-01
2022-09-15,7.08E-01
2022-09-16,4.47E-01
2022-09-17,3.87E-01
2022-09-18,7.49E-01
2022-09-19,7.77E-01
2022-09-20,6.27E-01
2022-09-21,5.57E-01
2022-09-22,4.87E-01
2022-09-23,3.68E-01
2022-09-24,1.85E-01
2022-09-25,6.59E-01
2022-09-26,6.21E-01
2022-09-27,4.89E-01
2022-09-28,4.44E-01
2022-09-29,4.49E-01
2022-09-30,2.53E-01
2022-10-01,2.60E-01
2022-10-02,6.58E-01
2022-10-03,7.32E-01
2022-10-04,6.55E-01
2022-10-05,6.21E-01
2022-10-06,5.40E-01
2022-10-07,3.09E-01
2022-10-08,2.21E-01
2022-10-09,5.67E-01
2022-10-10,6.77E-01
2022-10-11,7.07E-01
2022-10-12,6.32E-01
2022-10-13,7.07E-01
2022-10-14,3.67E-01
2022-10-15,4.16E-01
2022-10-16,7.30E-01
2022-10-17,7.98E-01
2022-10-18,7.05E-01
2022-10-19,4.81E-01
2022-10-20,5.69E-01
2022-10-21,4.19E-01
2022-10-22,2.93E-01
2022-10-23,8.34E-01
2022-10-24,7.23E-01
2022-10-25,6.79E-01
2022-10-26,6.69E-01
2022-10-27,7.51E-01
2022-10-28,4.46E-01
2022-10-29,2.59E-01
2022-10-30,6.37E-01
2022-10-31,5.97E-01
2022-11-01,5.80E-01
2022-11-02,5.25E-01
2022-11-03,5.59E-01
2022-11-04,3.28E-01
2022-11-05,2.60E-01
2022-11-06,7.01E-01
2022-11-07,7.35E-01
2022-11-08,6.69E-01
2022-11-09,5.36E-01
2022-11-10,5.69E-01
2022-11-11,2.33E-01
2022-11-12,1.77E-01
2022-11-13,6.42E-01
2022-11-14,7.42E-01
2022-11-15,6.01E-01
2022-11-16,5.11E-01
2022-11-17,5.24E-01
2022-11-18,2.36E-01
2022-11-19,1.96E-01
2022-11-20,7.07E-01
2022-11-21,7.87E-01
2022-11-22,5.49E-01
2022-11-23,3.97E-01
2022-11-24,4.73E-01
2022-11-25,1.87E-01
2022-11-26,1.45E-01
2022-11-27,6.69E-01
2022-11-28,7.76E-01
2022-11-29,5.46E-01
2022-11-30,3.55E-01
2022-12-01,4.33E-01
2022-12-02,1.30E-01
2022-12-03,1.10E-01
2022-12-04,5.27E-01
2022-12-05,5.03E-01
2022-12-06,4.10E-01
2022-12-07,3.90E-01
2022-12-08,4.33E-01
2022-12-09,1.50E-01
2022-12-10,1.22E-01
2022-12-11,6.21E-01
2022-12-12,7.39E-01
2022-12-13,5.80E-01
2022-12-14,6.41E-01
2022-12-15,5.69E-01
2022-12-16,1.74E-01
2022-12-17,7.84E-02
2022-12-18,4.71E-01
2022-12-19,5.33E-01
2022-12-20,4.14E-01
2022-12-21,5.00E-01
2022-12-22,3.77E-01
2022-12-23,1.81E-01
2022-12-24,1.26E-01
2022-12-25,5.91E-01
2022-12-26,6.40E-01
2022-12-27,3.91E-01
2022-12-28,3.95E-01
2022-12-29,4.59E-01
2022-12-30,5.82E-02
2022-12-31,7.59E-03
2023-01-01,9.87E-02
2023-01-02,4.17E-01
2023-01-03,7.12E-01
2023-01-04,7.04E-01
2023-01-05,6.69E-01
2023-01-06,7.25E-02
2023-01-07,7.59E-03
2023-01-08,6.13E-01
2023-01-09,7.42E-01
2023-01-10,4.39E-01
2023-01-11,4.85E-01
2023-01-12,4.36E-01
2023-01-13,1.26E-01
2023-01-14,6.58E-02
2023-01-15,3.95E-01
2023-01-16,2.55E-01
2023-01-17,1.61E-01
2023-01-18,1.46E-01
2023-01-19,1.93E-01
2023-01-20,2.40E-01
2023-01-21,2.21E-01
2023-01-22,1.38E-01
2023-01-23,1.80E-01
2023-01-24,2.04E-01
2023-01-25,2.52E-01
2023-01-26,2.89E-01
2023-01-27,2.69E-01
2023-01-28,2.48E-01
2023-01-29,2.28E-01
2023-01-30,2.07E-01
2023-01-31,1.63E-01
2023-02-01,1.18E-01
2023-02-02,7.34E-02
2023-02-03,1.18E-01
2023-02-04,1.63E-01
2023-02-05,2.08E-01
2023-02-06,2.53E-01
2023-02-07,2.98E-01
2023-02-08,2.70E-01
2023-02-09,2.42E-01
2023-02-10,2.14E-01
2023-02-11,1.04E-01
2023-02-12,1.19E-01
2023-02-13,1.33E-01
2023-02-14,1.48E-01
2023-02-15,1.63E-01
2023-02-16,1.78E-01
2023-02-17,1.10E-01
2023-02-18,1.69E-01
2023-02-19,1.82E-01
2023-02-20,1.95E-01
2023-02-21,1.81E-01
2023-02-22,1.67E-01
2023-02-23,1.53E-01
2023-02-24,9.11E-02
2023-02-25,7.50E-02
2023-02-26,4.16E-01
2023-02-27,5.21E-01
2023-02-28,4.26E-01
2023-03-01,4.79E-01
2023-03-02,5.92E-01
2023-03-03,1.61E-01
2023-03-04,9.95E-02
2023-03-05,5.93E-01
2023-03-06,5.48E-01
2023-03-07,4.44E-01
2023-03-08,6.86E-01
2023-03-09,6.90E-01
2023-03-10,1.55E-01
2023-03-11,1.33E-01
2023-03-12,7.23E-01
2023-03-13,6.36E-01
2023-03-14,5.67E-01
2023-03-15,5.64E-01
2023-03-16,5.85E-01
2023-03-17,1.96E-01
2023-03-18,1.71E-01
2023-03-19,4.50E-01
2023-03-20,6.49E-01
2023-03-21,3.98E-01
2023-03-22,4.58E-01
2023-03-23,4.22E-01
2023-03-24,1.73E-01
2023-03-25,1.11E-01
2023-03-26,4.42E-01
2023-03-27,5.19E-01
2023-03-28,4.31E-01
2023-03-29,4.70E-01
2023-03-30,4.06E-01
2023-03-31,1.64E-01
2023-04-01,8.43E-02
2023-04-02,5.85E-01
2023-04-03,7.60E-01
2023-04-04,5.36E-01
2023-04-05,5.48E-01
2023-04-06,4.83E-01
2023-04-07,1.59E-01
2023-04-08,7.42E-02
2023-04-09,6.68E-01
